Oarb_97847_c0_g1_i1	Oarb_97847_c0_g1
Oarb_97874_c2_g1_i2	Oarb_97874_c2_g1
Oarb_88760_c1_g2_i1	Oarb_88760_c1_g2
Oarb_88760_c0_g1_i2	Oarb_88760_c0_g1
Oarb_88720_c0_g1_i1	Oarb_88720_c0_g1
Oarb_88745_c0_g1_i2	Oarb_88745_c0_g1
Oarb_88889_c1_g1_i1	Oarb_88889_c1_g1
Oarb_88839_c0_g1_i1	Oarb_88839_c0_g1
Oarb_88833_c0_g1_i1	Oarb_88833_c0_g1
Oarb_88833_c0_g1_i2	Oarb_88833_c0_g1
Oarb_88880_c0_g1_i1	Oarb_88880_c0_g1
Oarb_88880_c0_g1_i2	Oarb_88880_c0_g1
Oarb_88871_c1_g1_i1	Oarb_88871_c1_g1
Oarb_46064_c0_g1_i3	Oarb_46064_c0_g1
Oarb_63357_c0_g1_i1	Oarb_63357_c0_g1
Oarb_63390_c0_g1_i1	Oarb_63390_c0_g1
Oarb_63390_c0_g1_i2	Oarb_63390_c0_g1
Oarb_80541_c0_g1_i1	Oarb_80541_c0_g1
Oarb_80541_c0_g1_i2	Oarb_80541_c0_g1
Oarb_80539_c0_g1_i1	Oarb_80539_c0_g1
Oarb_12714_c0_g1_i2	Oarb_12714_c0_g1
Oarb_12774_c0_g1_i1	Oarb_12774_c0_g1
Oarb_12740_c0_g2_i1	Oarb_12740_c0_g2
Oarb_97056_c0_g1_i1	Oarb_97056_c0_g1
Oarb_97056_c0_g1_i2	Oarb_97056_c0_g1
Oarb_97056_c0_g1_i3	Oarb_97056_c0_g1
Oarb_97029_c1_g1_i1	Oarb_97029_c1_g1
Oarb_97029_c1_g1_i2	Oarb_97029_c1_g1
Oarb_97104_c0_g1_i1	Oarb_97104_c0_g1
Oarb_97104_c0_g1_i2	Oarb_97104_c0_g1
Oarb_97104_c0_g1_i3	Oarb_97104_c0_g1
Oarb_97084_c0_g1_i3	Oarb_97084_c0_g1
Oarb_97090_c0_g1_i2	Oarb_97090_c0_g1
Oarb_97090_c0_g1_i3	Oarb_97090_c0_g1
Oarb_97122_c0_g1_i3	Oarb_97122_c0_g1
Oarb_97064_c0_g1_i1	Oarb_97064_c0_g1
Oarb_97064_c0_g1_i2	Oarb_97064_c0_g1
Oarb_97081_c0_g1_i1	Oarb_97081_c0_g1
Oarb_97059_c0_g1_i3	Oarb_97059_c0_g1
Oarb_97046_c0_g1_i1	Oarb_97046_c0_g1
Oarb_54258_c0_g1_i1	Oarb_54258_c0_g1
Oarb_54231_c0_g1_i1	Oarb_54231_c0_g1
Oarb_80717_c0_g1_i1	Oarb_80717_c0_g1
Oarb_80675_c0_g1_i1	Oarb_80675_c0_g1
Oarb_87976_c0_g2_i2	Oarb_87976_c0_g2
Oarb_87961_c0_g1_i1	Oarb_87961_c0_g1
Oarb_71566_c0_g1_i1	Oarb_71566_c0_g1
Oarb_88072_c0_g1_i1	Oarb_88072_c0_g1
Oarb_88010_c0_g1_i1	Oarb_88010_c0_g1
Oarb_88040_c0_g1_i1	Oarb_88040_c0_g1
Oarb_45289_c0_g1_i1	Oarb_45289_c0_g1
Oarb_62529_c0_g1_i2	Oarb_62529_c0_g1
Oarb_36209_c0_g1_i1	Oarb_36209_c0_g1
Oarb_95167_c2_g1_i2	Oarb_95167_c2_g1
Oarb_95167_c2_g1_i1	Oarb_95167_c2_g1
Oarb_95223_c0_g1_i2	Oarb_95223_c0_g1
